trial_id,scenario,frame,sweep,parameter_value,matlab_detection_count,python_detection_count,truth_count,engine_matching_tolerance_um,matched_count,engine_f1,matlab_truth_f1,python_truth_f1,centroid_rmse_um,diameter_mae_px,diameter_signed_bias_px,diameter_p95_relative_error,diameter_reference_coverage,quality_p95_relative_error,filter_relative_l2,filter_max_absolute_error,filter_correlation
unequal_pair-t001-intensitythreshold-03,unequal_pair,1,intensitythreshold,36.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,3.4362708351839085e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
unequal_pair-t001-intensitythreshold-04,unequal_pair,1,intensitythreshold,72.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,3.4362708351839085e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
unequal_pair-t001-boundary_percent-00,unequal_pair,1,boundary_percent,0.15,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.486736768910972e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
unequal_pair-t001-boundary_percent-01,unequal_pair,1,boundary_percent,0.25,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.486736768910972e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
unequal_pair-t001-boundary_percent-03,unequal_pair,1,boundary_percent,0.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.486736768910972e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
unequal_pair-t001-boundary_percent-04,unequal_pair,1,boundary_percent,0.7,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.486736768910972e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
unequal_pair-t001-boundary_percent-05,unequal_pair,1,boundary_percent,0.85,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.486736768910972e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
boundary-t001-baseline,boundary,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-sigma-00,boundary,1,sigma,0.6,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7670674462564075e-06,7.458693692443123e-06,6.103515625e-05,0.9999999999721889
boundary-t001-sigma-01,boundary,1,sigma,0.8,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.788017220265127e-07,2.471282563543187e-06,9.1552734375e-05,0.9999999999969471
boundary-t001-sigma-03,boundary,1,sigma,1.2,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.644140723294165e-07,2.1000352534103143e-06,6.103515625e-05,0.9999999999977944
boundary-t001-sigma-04,boundary,1,sigma,1.4,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.1894857631748447e-07,1.954236566661366e-06,6.103515625e-05,0.9999999999980927
boundary-t001-intensitythreshold-00,boundary,1,intensitythreshold,4.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-intensitythreshold-01,boundary,1,intensitythreshold,9.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-intensitythreshold-03,boundary,1,intensitythreshold,36.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-intensitythreshold-04,boundary,1,intensitythreshold,72.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,3.973946015135568e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-boundary_percent-00,boundary,1,boundary_percent,0.15,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-boundary_percent-01,boundary,1,boundary_percent,0.25,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-boundary_percent-03,boundary,1,boundary_percent,0.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-boundary_percent-04,boundary,1,boundary_percent,0.7,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
boundary-t001-boundary_percent-05,boundary,1,boundary_percent,0.85,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7752487143787897e-07,2.704716421652544e-06,4.57763671875e-05,0.9999999999963436
division-t003-baseline,division,3,baseline,0.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t003-sigma-00,division,3,sigma,0.6,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.679001201120016e-06,9.1552734375e-05,0.9999999999531612
division-t003-sigma-01,division,3,sigma,0.8,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2525094868937816e-06,6.103515625e-05,0.9999999999947137
division-t003-sigma-03,division,3,sigma,1.2,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2596845635844667e-07,2.7390864802079735e-06,4.57763671875e-05,0.9999999999962506
division-t003-sigma-04,division,3,sigma,1.4,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.269715032890881e-07,2.5504710086525693e-06,4.57763671875e-05,0.9999999999967514
division-t003-intensitythreshold-00,division,3,intensitythreshold,4.5,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t003-intensitythreshold-01,division,3,intensitythreshold,9.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t003-intensitythreshold-03,division,3,intensitythreshold,36.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t003-intensitythreshold-04,division,3,intensitythreshold,72.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t003-boundary_percent-00,division,3,boundary_percent,0.15,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
